epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
28,37,0.0007494112360291183,0.0008461383986286819,1.0,3498.0,3498.0,38.0,0.004996629897505045,0.006410384550690651,1.0,184.0,184.0,38.0,0.015373713336884975,0.0159760732203722,1.0,56.0,56.0,28.0,0.0020263365004211664,0.0016580673400312662,1.0,1057.0,1057.0,38.0,0.0013698885450139642,0.0013646685983985662,1.0,8414.759765625,0.42073798828125003
29,37,0.0006426796899177134,0.0005267246160656214,1.0,3498.0,3498.0,38.0,0.003339977702125907,0.0026721260510385036,1.0,184.0,184.0,38.0,0.013274218887090683,0.012133754789829254,1.0,56.0,56.0,29.0,0.0018456876277923584,0.0014129180926829576,1.0,1057.0,1057.0,38.0,0.001152907032519579,0.0011588941561058164,1.0,8414.12890625,0.4207064453125
30,37,0.0008091681520454586,0.0007973977481015027,1.0,3498.0,3498.0,38.0,0.007756815757602453,0.006238187197595835,1.0,184.0,184.0,38.0,0.013756908476352692,0.013205444440245628,1.0,56.0,56.0,29.0,0.0023125603329390287,0.0024310576263815165,1.0,1057.0,1057.0,38.0,0.0015691748121753335,0.0015583914937451482,1.0,8413.4990234375,0.42067495117187503
31,37,0.0006119765457697213,0.0006579683977179229,1.0,3498.0,3498.0,38.0,0.002929163398221135,0.0034285285510122776,1.0,184.0,184.0,38.0,0.010698189958930016,0.020332269370555878,1.0,56.0,56.0,30.0,0.0025412156246602535,0.0017264789203181863,1.0,1057.0,1057.0,38.0,0.0012608859688043594,0.001243967330083251,1.0,8412.8671875,0.420643359375
32,37,0.0005567536572925746,0.0007008315296843648,1.0,3498.0,3498.0,38.0,0.0023948855232447386,0.0027419254183769226,1.0,184.0,184.0,36.0,0.011088424362242222,0.016339091584086418,1.0,56.0,56.0,26.0,0.0016706897877156734,0.001958010718226433,1.0,1057.0,1057.0,38.0,0.0010180373210459948,0.0009958402952179313,1.0,8412.2373046875,0.420611865234375
33,37,0.0006289783050306141,0.000581452390179038,1.0,3498.0,3498.0,38.0,0.0034585746470838785,0.0029898779466748238,1.0,184.0,184.0,38.0,0.013617739081382751,0.008933468721807003,1.0,56.0,56.0,31.0,0.0015935386763885617,0.0011154371313750744,1.0,1057.0,1057.0,38.0,0.001105026574805379,0.001101878471672535,1.0,8411.6064453125,0.42058032226562503
34,37,0.0006863732123747468,0.0006559131434187293,1.0,3498.0,3498.0,38.0,0.003871407127007842,0.0031818875577300787,1.0,184.0,184.0,36.0,0.01123323105275631,0.014162828214466572,1.0,56.0,56.0,31.0,0.0018339651869609952,0.0017186333425343037,1.0,1057.0,1057.0,38.0,0.0011891939211636782,0.0011847412679344416,1.0,8410.9775390625,0.42054887695312504
35,37,0.0004891721764579415,0.00044326638453640044,1.0,3498.0,3498.0,38.0,0.0023074247874319553,0.0023605015594512224,1.0,184.0,184.0,38.0,0.009832688607275486,0.006228082813322544,1.0,56.0,56.0,31.0,0.001924488926306367,0.001742321066558361,1.0,1057.0,1057.0,38.0,0.0009844264714047313,0.0009844641899690032,1.0,8410.3447265625,0.42051723632812504
36,37,0.0004599496896844357,0.0004565191047731787,1.0,3498.0,3498.0,38.0,0.002285140799358487,0.0023148993495851755,1.0,184.0,184.0,37.0,0.010652594268321991,0.011296441778540611,1.0,56.0,56.0,31.0,0.0014778150944039226,0.0011910514440387487,1.0,1057.0,1057.0,38.0,0.0008695510914549232,0.0008734026923775673,1.0,8409.712890625,0.42048564453125004
37,37,0.0005230566021054983,0.0005085489829070866,1.0,3498.0,3498.0,38.0,0.002885272027924657,0.0030554872937500477,1.0,184.0,184.0,38.0,0.009075281210243702,0.011074523441493511,1.0,56.0,56.0,31.0,0.0016754029784351587,0.0010032079881057143,1.0,1057.0,1057.0,38.0,0.0009719064692035317,0.0009676034678705037,1.0,8409.0830078125,0.420454150390625
