epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_group_grad_norm:0,avg_group_grad_norm_uniform:0,avg_group_loss_each_uniform:0,avg_group_feat_norm:0,avg_group_largest_confidence:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_group_grad_norm:1,avg_group_grad_norm_uniform:1,avg_group_loss_each_uniform:1,avg_group_feat_norm:1,avg_group_largest_confidence:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_group_grad_norm:2,avg_group_grad_norm_uniform:2,avg_group_loss_each_uniform:2,avg_group_feat_norm:2,avg_group_largest_confidence:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_group_grad_norm:3,avg_group_grad_norm_uniform:3,avg_group_loss_each_uniform:3,avg_group_feat_norm:3,avg_group_largest_confidence:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,avg_grad_norm,avg_grad_norm_uniform,avg_loss_each_uniform,avg_feat_norm,avg_largest_confidence
10,37,0.0054130651988089085,0.0055764890275895596,1.0,2213.0,2213.0,38.0,0.0,0.0,0.0,0.0,0.9948692917823792,0.04955392703413963,0.0726097896695137,1.0,101.0,101.0,36.0,0.0,0.0,0.0,0.0,0.9565481543540955,0.03972003981471062,0.023132847622036934,1.0,120.0,120.0,37.0,0.0,0.0,0.0,0.0,0.9629753232002258,0.009069752879440784,0.0052869319915771484,0.9995763897895813,2361.0,2361.0,38.0,0.0,0.0,0.0,0.0,0.9914181232452393,0.008934324607253075,0.00900190882384777,0.9997913837432861,8426.0361328125,0.421301806640625,0.0,0.0,0.0,0.0,0.9915646314620972
11,37,0.004707599524408579,0.003568484680727124,1.0,2216.0,2216.0,38.0,0.0,0.0,0.0,0.0,0.9954550862312317,0.08498438447713852,0.06257843971252441,0.9682539701461792,126.0,126.0,37.0,0.0,0.0,0.0,0.0,0.9536049962043762,0.02553984522819519,0.01789768412709236,1.0,132.0,132.0,36.0,0.0,0.0,0.0,0.0,0.9757384061813354,0.005164550617337227,0.003954801708459854,1.0,2321.0,2321.0,38.0,0.0,0.0,0.0,0.0,0.9949498176574707,0.007547668181359768,0.00761173153296113,0.9991657733917236,8425.427734375,0.42127138671875003,0.0,0.0,0.0,0.0,0.9935680627822876
12,37,0.005122655536979437,0.0037493249401450157,0.9995813369750977,2389.0,2389.0,38.0,0.0,0.0,0.0,0.0,0.9957509636878967,0.07002300024032593,0.04440421238541603,0.9834710359573364,121.0,121.0,37.0,0.0,0.0,0.0,0.0,0.953402042388916,0.01619386486709118,0.016465667635202408,1.0,115.0,115.0,35.0,0.0,0.0,0.0,0.0,0.9843406081199646,0.0040122284553945065,0.003327385988086462,1.0,2170.0,2170.0,38.0,0.0,0.0,0.0,0.0,0.9960677027702332,0.006489903200417757,0.00652338657528162,0.999374270439148,8424.81640625,0.42124082031250004,0.0,0.0,0.0,0.0,0.9945520162582397
13,37,0.002307463902980089,0.002855246653780341,1.0,2308.0,2308.0,38.0,0.0,0.0,0.0,0.0,0.9977298974990845,0.06296048313379288,0.09775584936141968,0.9838709831237793,124.0,124.0,37.0,0.0,0.0,0.0,0.0,0.9686214923858643,0.018105020746588707,0.015099569223821163,1.0,121.0,121.0,38.0,0.0,0.0,0.0,0.0,0.9824018478393555,0.0046731699258089066,0.003793178591877222,1.0,2242.0,2242.0,38.0,0.0,0.0,0.0,0.0,0.995435357093811,0.005375196225941181,0.0053807469084858894,0.9995828866958618,8424.2021484375,0.42121010742187504,0.0,0.0,0.0,0.0,0.9955174922943115
14,37,0.002342493971809745,0.0026477614883333445,1.0,2304.0,2304.0,38.0,0.0,0.0,0.0,0.0,0.9977051615715027,0.024094097316265106,0.03035159409046173,1.0,106.0,106.0,34.0,0.0,0.0,0.0,0.0,0.9771173000335693,0.019363785162568092,0.014240055344998837,1.0,111.0,111.0,36.0,0.0,0.0,0.0,0.0,0.9813011288642883,0.004212767351418734,0.003346230136230588,1.0,2274.0,2274.0,38.0,0.0,0.0,0.0,0.0,0.9958639144897461,0.004079565871506929,0.004104336723685265,1.0,8423.5859375,0.421179296875,0.0,0.0,0.0,0.0,0.9959970712661743
15,37,0.0023464448750019073,0.0018520255107432604,1.0,2257.0,2257.0,38.0,0.0,0.0,0.0,0.0,0.9977107644081116,0.022162243723869324,0.023135002702474594,0.9924811720848083,133.0,133.0,36.0,0.0,0.0,0.0,0.0,0.9801828861236572,0.00992533192038536,0.012978468090295792,1.0,117.0,117.0,37.0,0.0,0.0,0.0,0.0,0.9901937246322632,0.0032534070778638124,0.003998406231403351,1.0,2288.0,2288.0,38.0,0.0,0.0,0.0,0.0,0.996794581413269,0.003581104101613164,0.0035137776285409927,0.9997914433479309,8422.96875,0.42114843750000003,0.0,0.0,0.0,0.0,0.9966039657592773
16,37,0.003047280479222536,0.005216008052229881,1.0,2284.0,2284.0,38.0,0.0,0.0,0.0,0.0,0.997077226638794,0.03165801987051964,0.026300501078367233,0.9929076433181763,141.0,141.0,38.0,0.0,0.0,0.0,0.0,0.9763270616531372,0.014441806823015213,0.011630718596279621,1.0,108.0,108.0,35.0,0.0,0.0,0.0,0.0,0.9861057996749878,0.003161027329042554,0.0024623870849609375,1.0,2262.0,2262.0,38.0,0.0,0.0,0.0,0.0,0.9968868494033813,0.00446895370259881,0.004198900423943996,0.9997914433479309,8422.34765625,0.4211173828125,0.0,0.0,0.0,0.0,0.996130108833313
17,37,0.001855681068263948,0.0014895417261868715,1.0,2287.0,2287.0,38.0,0.0,0.0,0.0,0.0,0.9981681704521179,0.015326724387705326,0.012991566210985184,1.0,132.0,132.0,37.0,0.0,0.0,0.0,0.0,0.9852026700973511,0.012021223083138466,0.015934694558382034,1.0,124.0,124.0,36.0,0.0,0.0,0.0,0.0,0.988224983215332,0.0034336454700678587,0.005665125325322151,1.0,2252.0,2252.0,38.0,0.0,0.0,0.0,0.0,0.996634304523468,0.003457134822383523,0.003230505157262087,1.0,8421.728515625,0.42108642578125,0.0,0.0,0.0,0.0,0.9968337416648865
18,37,0.0022568085696548223,0.002590831369161606,1.0,2289.0,2289.0,38.0,0.0,0.0,0.0,0.0,0.9977887272834778,0.02211352251470089,0.021781958639621735,1.0,117.0,117.0,38.0,0.0,0.0,0.0,0.0,0.9789801239967346,0.012387177906930447,0.010129368863999844,1.0,110.0,110.0,36.0,0.0,0.0,0.0,0.0,0.9878725409507751,0.002415219321846962,0.0017537653911858797,1.0,2279.0,2279.0,38.0,0.0,0.0,0.0,0.0,0.9976116418838501,0.003080908441916108,0.0030490076169371605,1.0,8421.1103515625,0.42105551757812504,0.0,0.0,0.0,0.0,0.9970180988311768
19,37,0.0015070548979565501,0.0014053985942155123,1.0,2213.0,2213.0,38.0,0.0,0.0,0.0,0.0,0.9985350370407104,0.009077285416424274,0.009707273915410042,1.0,124.0,124.0,36.0,0.0,0.0,0.0,0.0,0.9910556077957153,0.008641915395855904,0.009666266851127148,1.0,123.0,123.0,37.0,0.0,0.0,0.0,0.0,0.9914742708206177,0.0026572025381028652,0.002907219808548689,1.0,2335.0,2335.0,38.0,0.0,0.0,0.0,0.0,0.9973739981651306,0.0024496535770595074,0.0024459268897771835,1.0,8420.4873046875,0.42102436523437503,0.0,0.0,0.0,0.0,0.9975951910018921
