epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
10,37,0.0040343631990253925,0.0033400433603674173,1.0,3498.0,3498.0,38.0,0.037527360022068024,0.029286688193678856,1.0,184.0,184.0,38.0,0.11305910348892212,0.10450364649295807,0.964285671710968,56.0,56.0,29.0,0.015248694457113743,0.015715431421995163,0.9990538358688354,1057.0,1057.0,38.0,0.009079950861632824,0.009064946323633194,0.999374270439148,8425.939453125,0.42129697265625005
11,37,0.003462796099483967,0.003235638840124011,1.0,3498.0,3498.0,38.0,0.02977687120437622,0.029254041612148285,1.0,184.0,184.0,38.0,0.07814514636993408,0.04278199002146721,0.9821428656578064,56.0,56.0,32.0,0.01192440651357174,0.008395285345613956,0.9990538954734802,1057.0,1057.0,38.0,0.007190495729446411,0.007210016716271639,0.9995828866958618,8425.3330078125,0.421266650390625
12,37,0.00285582453943789,0.0023450686130672693,1.0,3498.0,3498.0,38.0,0.020050475373864174,0.019756991416215897,1.0,184.0,184.0,38.0,0.08133166283369064,0.09259599447250366,0.9821428656578064,56.0,56.0,30.0,0.013515655882656574,0.01751021482050419,1.0,1057.0,1057.0,38.0,0.00673912325873971,0.006781977601349354,0.9997913837432861,8424.72265625,0.4212361328125
13,37,0.002411917084828019,0.002357927616685629,1.0,3498.0,3498.0,38.0,0.020793553441762924,0.028117308393120766,1.0,184.0,184.0,37.0,0.07471772283315659,0.11316167563199997,0.9642857313156128,56.0,56.0,32.0,0.009155293926596642,0.01689670979976654,0.999053955078125,1057.0,1057.0,38.0,0.00622433191165328,0.005448224954307079,0.9993743300437927,8424.109375,0.42120546875000003
14,37,0.0026280246675014496,0.001980395521968603,1.0,3498.0,3498.0,38.0,0.020843055099248886,0.014875926077365875,1.0,184.0,184.0,38.0,0.04058505967259407,0.03807384893298149,1.0,56.0,56.0,30.0,0.006985464133322239,0.0073066395707428455,1.0,1057.0,1057.0,38.0,0.004709642380475998,0.004730834625661373,1.0,8423.498046875,0.42117490234375005
15,37,0.002213103696703911,0.0020227041095495224,1.0,3498.0,3498.0,38.0,0.014899887144565582,0.013722515664994717,1.0,184.0,184.0,38.0,0.04696991667151451,0.045750752091407776,1.0,56.0,56.0,32.0,0.006744025740772486,0.00992141105234623,1.0,1057.0,1057.0,38.0,0.004362443462014198,0.004221431910991669,1.0,8422.87890625,0.42114394531250005
16,37,0.0019409998785704374,0.0025242718402296305,1.0,3498.0,3498.0,38.0,0.01119000930339098,0.016486791893839836,1.0,184.0,184.0,37.0,0.03661491349339485,0.028782611712813377,1.0,56.0,56.0,30.0,0.004911375232040882,0.004241719376295805,1.0,1057.0,1057.0,38.0,0.0033833589404821396,0.0033556492999196053,1.0,8422.259765625,0.42111298828125004
17,37,0.001779075595550239,0.00213834410533309,1.0,3498.0,3498.0,38.0,0.01220705360174179,0.021947184577584267,1.0,184.0,184.0,36.0,0.03903704509139061,0.02646152675151825,1.0,56.0,56.0,28.0,0.00536387087777257,0.0038824337534606457,1.0,1057.0,1057.0,38.0,0.003534880466759205,0.003404586110264063,1.0,8421.638671875,0.42108193359375
18,37,0.0013618875527754426,0.0013258715625852346,1.0,3498.0,3498.0,38.0,0.007838638499379158,0.00886508822441101,1.0,184.0,184.0,38.0,0.03268352523446083,0.04134982079267502,1.0,56.0,56.0,30.0,0.006930917967110872,0.005569745320826769,1.0,1057.0,1057.0,38.0,0.0032067750580608845,0.0032038476783782244,1.0,8421.01953125,0.4210509765625
19,37,0.0015221851645037532,0.0011561374412849545,1.0,3498.0,3498.0,38.0,0.008456460200250149,0.007718853652477264,1.0,184.0,184.0,38.0,0.037196915596723557,0.0554947629570961,1.0,56.0,56.0,27.0,0.005280292127281427,0.004009013529866934,1.0,1057.0,1057.0,38.0,0.003090426092967391,0.0030333446338772774,1.0,8420.3984375,0.42101992187500004
