epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_group_grad_norm:0,avg_group_grad_norm_uniform:0,avg_group_loss_each_uniform:0,avg_group_feat_norm:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_group_grad_norm:1,avg_group_grad_norm_uniform:1,avg_group_loss_each_uniform:1,avg_group_feat_norm:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_group_grad_norm:2,avg_group_grad_norm_uniform:2,avg_group_loss_each_uniform:2,avg_group_feat_norm:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_group_grad_norm:3,avg_group_grad_norm_uniform:3,avg_group_loss_each_uniform:3,avg_group_feat_norm:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,avg_grad_norm,avg_grad_norm_uniform,avg_loss_each_uniform,avg_feat_norm
0,37,0.32586559653282166,0.1602034568786621,0.8865526914596558,2283.0,2283.0,38.0,8.955851554870605,18.634700775146484,2.120465040206909,0.42790383100509644,1.0236940383911133,0.9929262399673462,0.35849058628082275,106.0,106.0,37.0,21.21812629699707,14.244833946228027,1.6914159059524536,0.460795134305954,0.849077582359314,0.9187859892845154,0.5000000596046448,112.0,112.0,37.0,18.68008041381836,10.933263778686523,1.6000614166259766,0.44072338938713074,0.322533518075943,0.18672876060009003,0.8718396425247192,2294.0,2294.0,38.0,9.024202346801758,20.647518157958984,2.1933138370513916,0.4576343297958374,0.34801897406578064,0.35191893577575684,0.8588112592697144,8431.6845703125,0.421584228515625,9.486761093139648,19.32073211669922,2.133676767349243,0.44315391778945923
1,37,0.07750935107469559,0.064517080783844,0.9850543141365051,2208.0,2208.0,38.0,2.3281431198120117,31.502622604370117,3.808187484741211,0.4290987551212311,1.1833735704421997,0.8686391115188599,0.4416666626930237,120.0,120.0,36.0,20.706472396850586,19.02288055419922,2.010326623916626,0.4606189429759979,0.7775274515151978,0.6056367754936218,0.5961537957191467,104.0,104.0,34.0,15.63159465789795,17.312959671020508,1.9048988819122314,0.4397686719894409,0.09152422845363617,0.07223448902368546,0.9724925756454468,2363.0,2363.0,38.0,2.537036895751953,32.46406936645508,3.951223373413086,0.4542595446109772,0.12656202912330627,0.1272742748260498,0.9568300247192383,8431.1962890625,0.421559814453125,3.1795663833618164,31.356346130371094,3.7924020290374756,0.4425183832645416
2,37,0.04893126338720322,0.0458337664604187,0.9935205578804016,2315.0,2315.0,38.0,1.5285004377365112,32.713932037353516,4.4383544921875,0.4258864223957062,0.7921425700187683,0.8049408197402954,0.6554054021835327,148.0,148.0,37.0,14.535964012145996,20.775928497314453,2.184643507003784,0.45075348019599915,0.7391812205314636,0.524446964263916,0.7279998660087585,125.0,125.0,36.0,12.519030570983887,23.442773818969727,2.3375911712646484,0.4440082311630249,0.05929841473698616,0.0495184063911438,0.9832350015640259,2207.0,2207.0,38.0,1.6368873119354248,34.22742462158203,4.595821857452393,0.4561803340911865,0.09406597167253494,0.09463654458522797,0.9714285135269165,8430.6513671875,0.421532568359375,2.2663798332214355,32.80038833618164,4.386506080627441,0.4410697817802429
3,37,0.033322010189294815,0.02565065771341324,0.9955136179924011,2229.0,2229.0,38.0,0.9996785521507263,33.75669860839844,5.095728397369385,0.42568662762641907,0.4985133707523346,0.442370742559433,0.7674418687820435,129.0,129.0,37.0,10.828411102294922,21.715131759643555,2.258986234664917,0.44768261909484863,0.2686612010002136,0.19905368983745575,0.9179105162620544,134.0,134.0,37.0,6.132125377655029,26.544347763061523,2.6682488918304443,0.444052517414093,0.04486289992928505,0.048891618847846985,0.9921841621398926,2303.0,2303.0,38.0,1.3471674919128418,34.39573669433594,4.883014678955078,0.45435452461242676,0.05858656391501427,0.057956796139478683,0.9856100082397461,8430.10546875,0.4215052734375,1.5744274854660034,33.538116455078125,4.849409103393555,0.44056057929992676
4,37,0.024582497775554657,0.01864953525364399,0.9978089332580566,2282.0,2282.0,38.0,0.7670049667358398,34.067996978759766,5.426370143890381,0.4236590564250946,0.5102570652961731,0.5431049466133118,0.7889907360076904,109.0,109.0,36.0,10.44328498840332,23.859455108642578,2.4988369941711426,0.4603605270385742,0.19727182388305664,0.20196427404880524,0.9344262480735779,122.0,122.0,35.0,4.428814888000488,29.12839698791504,3.113170623779297,0.4421113133430481,0.030212966725230217,0.03276593238115311,0.9951796531677246,2282.0,2282.0,38.0,0.8868137001991272,35.428871154785156,5.46229887008667,0.4556707441806793,0.04244246706366539,0.04269623011350632,0.9901981353759766,8429.546875,0.42147734375,1.1371527910232544,34.35791778564453,5.318065643310547,0.44019758701324463
5,37,0.016205957159399986,0.011067635379731655,0.9986773133277893,2268.0,2268.0,38.0,0.5273313522338867,34.5118522644043,5.948713302612305,0.4236108958721161,0.4113263189792633,0.2984324097633362,0.8189654350280762,116.0,116.0,38.0,8.90625,25.09160614013672,2.7290799617767334,0.45621225237846375,0.1356525421142578,0.1425849348306656,0.952380895614624,126.0,126.0,37.0,3.72995924949646,30.487590789794922,3.2257204055786133,0.4510800242424011,0.02830856665968895,0.028623215854167938,0.9964989423751831,2285.0,2285.0,38.0,0.8273409605026245,35.48995590209961,5.702327251434326,0.4549756944179535,0.03462511673569679,0.03467075154185295,0.9920750856399536,8428.98046875,0.4214490234375,0.957155704498291,34.644317626953125,5.681859016418457,0.44006791710853577
6,37,0.016201715916395187,0.010739468969404697,0.9991068840026855,2239.0,2239.0,38.0,0.4886426031589508,34.80998992919922,6.21808385848999,0.4254767894744873,0.2831478416919708,0.2506442666053772,0.8888888359069824,108.0,108.0,36.0,6.613241195678711,27.064733505249023,2.8519210815429688,0.45637956261634827,0.0699278935790062,0.04885576665401459,0.9756098389625549,123.0,123.0,35.0,1.9471863508224487,33.050621032714844,3.8984382152557373,0.44821545481681824,0.016874762251973152,0.01660466380417347,0.9987096190452576,2325.0,2325.0,38.0,0.5442394018173218,35.74534606933594,6.119417190551758,0.45221608877182007,0.023739982396364212,0.02391878142952919,0.9958290457725525,8428.40234375,0.4214201171875,0.6909617185592651,35.0439453125,6.034921646118164,0.4397214651107788
7,37,0.011064277961850166,0.012938606552779675,0.9995663166046143,2306.0,2306.0,38.0,0.36103126406669617,34.820831298828125,6.518848896026611,0.4238579571247101,0.21726885437965393,0.20249949395656586,0.8859649896621704,114.0,114.0,38.0,5.449547290802002,28.749801635742188,3.2701947689056396,0.456214964389801,0.07478170096874237,0.07206164300441742,0.9924812912940979,133.0,133.0,38.0,2.0764472484588623,32.24847412109375,3.7871286869049072,0.4461340010166168,0.015741707757115364,0.012307006865739822,0.9991080164909363,2242.0,2242.0,38.0,0.5116692781448364,36.09346008300781,6.368958473205566,0.45476266741752625,0.019984647631645203,0.019921116530895233,0.9964547157287598,8427.8203125,0.42139101562500003,0.6000243425369263,35.20018768310547,6.295758247375488,0.43969523906707764
8,37,0.007163220550864935,0.006006497889757156,0.9991228580474854,2280.0,2280.0,38.0,0.2413456290960312,35.085384368896484,6.880817413330078,0.4232783317565918,0.09842308610677719,0.11177146434783936,0.9830508828163147,118.0,118.0,37.0,2.901792287826538,31.987064361572266,3.5440573692321777,0.46233153343200684,0.03994488716125488,0.03294449672102928,1.0,105.0,105.0,34.0,1.3141931295394897,34.15195083618164,4.121028900146484,0.44730645418167114,0.01089522521942854,0.010954408906400204,0.9995636940002441,2292.0,2292.0,38.0,0.36613819003105164,36.28146743774414,6.538202285766602,0.4544159471988678,0.01204258669167757,0.011910769157111645,0.9989572763442993,8427.2333984375,0.421361669921875,0.3899601101875305,35.5604248046875,6.574501037597656,0.4396492540836334
9,37,0.009051498956978321,0.010698153637349606,0.9991416335105896,2330.0,2330.0,38.0,0.28883132338523865,35.02276611328125,7.019270896911621,0.42469215393066406,0.09622810781002045,0.12375685572624207,0.9655173420906067,116.0,116.0,36.0,2.9035913944244385,31.902128219604492,3.786069631576538,0.46352535486221313,0.02366747334599495,0.023737847805023193,1.0,119.0,119.0,38.0,0.8149338364601135,35.32023620605469,4.560601711273193,0.4496321678161621,0.008357607759535313,0.006872508674860001,1.0,2230.0,2230.0,38.0,0.28307679295539856,36.47358322143555,6.950355529785156,0.45390942692756653,0.011108637787401676,0.011200489476323128,0.9987486600875854,8426.634765625,0.42133173828125003,0.36246752738952637,35.6293830871582,6.84798526763916,0.4398385286331177
